id,total_words,lexicality,avg_zipf
ark:/67375/QT4-V3QPL8DQ-K,1612,47.64267990074442,4.148333333333333
ark:/67375/VQC-1CRQFTMP-6,873,45.58991981672394,5.058090452261307
ark:/67375/VQC-20MPQMDV-7,1209,34.07775020678246,4.941480582524272
ark:/67375/VQC-3Q583KKN-N,3208,37.74937655860349,4.872345169281585
ark:/67375/VQC-4919W708-D,1236,44.41747572815535,4.939744990892532
ark:/67375/VQC-4G8DG3QV-X,1902,45.26813880126184,4.867479674796748
ark:/67375/VQC-65CJWZDS-X,2673,48.63449307893752,4.89933076923077
ark:/67375/VQC-8T4S7N6V-1,4577,46.62442648022722,4.070435801312089
ark:/67375/VQC-FVV5K0LN-4,20511,47.1405587245868,4.165299410487124
ark:/67375/VQC-H7TKNB0S-X,2858,45.066480055983206,4.911195652173913
ark:/67375/VQC-HCRC5BG3-F,3893,42.3067043411251,4.239690346083789
ark:/67375/VQC-TW9G5VV4-T,2069,42.62928951184147,5.021587301587301
ark:/67375/VQC-VF714LJQ-Z,5267,45.813556104044046,4.178653128885205
ark:/67375/VQC-WW2MQS31-6,952,48.739495798319325,4.912004310344828
ark:/67375/VQC-Z39M2WL4-6,2047,43.527112848070345,4.87320987654321
ark:/67375/WNG-0H1SRCCF-1,2606,37.72064466615503,4.56263479145473
ark:/67375/WNG-0PRZ838N-3,566,38.51590106007068,4.607477064220183
ark:/67375/WNG-0PXJHZKC-L,880,13.977272727272728,4.369756097560976
ark:/67375/WNG-1375WX79-G,8112,45.51282051282051,4.2128196099674975
ark:/67375/WNG-14DC1BD4-6,1371,36.76148796498906,4.5683928571428565
ark:/67375/WNG-184BSVZD-D,1021,16.846229187071497,4.395813953488372
ark:/67375/WNG-1FPQZ3ZS-X,2932,47.37380627557981,4.323254139668826
ark:/67375/WNG-1Z0DNPNV-M,1324,45.392749244713,4.720449251247921
ark:/67375/WNG-2C1NK2C4-3,1661,44.0096327513546,4.176839945280438
ark:/67375/WNG-2NCCXK83-W,5949,48.831736426290135,4.498740103270224
ark:/67375/WNG-2P6P6MSZ-N,958,15.031315240083506,4.421875
ark:/67375/WNG-2RFCM3TD-H,2926,46.71907040328093,4.282553035844916
ark:/67375/WNG-2ZD49N89-T,5350,47.77570093457944,4.582476525821596
ark:/67375/WNG-309D9JQR-5,5559,44.55837380823889,4.169297537343561
ark:/67375/WNG-34DPP7W8-P,2564,42.58970358814352,4.142847985347985
ark:/67375/WNG-3G8GSG5G-J,7365,44.15478615071283,4.257376998769987
ark:/67375/WNG-3HN0FMKP-Z,944,31.991525423728813,4.405066225165562
ark:/67375/WNG-42C2JKDP-9,5333,43.24020251265704,4.31817866435386
ark:/67375/WNG-471CSPM2-L,7453,40.89628337582182,4.461026902887139
ark:/67375/WNG-4BF1DL0H-T,1090,34.22018348623853,4.545898123324397
ark:/67375/WNG-4JKCNFZT-8,1058,31.379962192816635,4.690120481927711
ark:/67375/WNG-4X2PZ8MW-D,3814,49.00367068694284,4.446013911182451
ark:/67375/WNG-59B6S1V7-P,2464,10.714285714285714,4.286401515151515
ark:/67375/WNG-5BZBH8J6-F,3610,49.58448753462604,4.575541899441341
ark:/67375/WNG-5JTZM7XH-M,7865,46.17927527018436,4.262183370044053
ark:/67375/WNG-5WDCSR02-1,6829,48.41118758236931,4.469761040532366
ark:/67375/WNG-61NVNVMW-3,4968,33.81642512077295,4.972553571428571
ark:/67375/WNG-680XP0G8-K,1211,20.809248554913296,4.717103174603174
ark:/67375/WNG-76SRH38Q-8,1753,48.83057615516258,5.039532710280374
ark:/67375/WNG-7924C7MR-R,729,18.655692729766805,4.661470588235295
ark:/67375/WNG-794R8CSW-9,14808,45.94138303619665,4.276283992356314
ark:/67375/WNG-7DDZKL7G-C,2456,44.38110749185668,4.241440366972477
ark:/67375/WNG-7G0HL2SB-C,5429,44.20703628660896,3.972258333333333
ark:/67375/WNG-7HL5XSKM-6,2080,49.71153846153846,4.460889748549324
ark:/67375/WNG-80XKP6J9-P,4029,42.4174733184413,4.132358104154476
ark:/67375/WNG-8Z32Z2RQ-7,2236,43.96243291592129,3.999867751780264
ark:/67375/WNG-95468XR7-J,6809,44.07401967983552,5.245571476174609
ark:/67375/WNG-96T6TBVT-M,1013,30.60217176702863,4.798741935483871
