id,genre,lang,lang_prob
ark:/67375/6H6-X3H4X60N-4,,de,0.12078728526830673
ark:/67375/WNG-X5PZ851L-S,other,de,0.3650462031364441
ark:/67375/WNG-XRDRDG50-F,article,de,0.979857861995697
ark:/67375/WNG-F0KDMJ4R-F,book-reviews,de,0.4511081278324127
ark:/67375/WNG-F0VJNKL8-7,article,de,0.9702674746513367
ark:/67375/WNG-F0WP2T6K-B,other,fr,0.9458034038543701
ark:/67375/WNG-FHSCW0L5-0,article,de,0.9841218590736389
ark:/67375/HXZ-DZ02M2TK-S,research-article,ru,0.14596207439899445
ark:/67375/HXZ-LLD07TKB-B,research-article,fr,0.8836244940757751
ark:/67375/HXZ-NSZ7W7NV-8,research-article,uk,0.0983412116765976
ark:/67375/HXZ-QVLNNTF0-P,research-article,ru,0.8548722267150879
ark:/67375/M70-G3TGJFQ5-S,research-article,fr,0.9650300741195679
ark:/67375/M70-G447V0WP-X,research-article,fr,0.9753894805908203
ark:/67375/M70-G7GQJGWT-X,research-article,fr,0.9675947427749634
ark:/67375/M70-G93WCXP7-B,research-article,fr,0.9698930382728577
ark:/67375/M70-GFD885CW-0,other,fr,0.9759871363639832
ark:/67375/M70-JC7QXJC4-7,other,fr,0.9639540314674377
ark:/67375/M70-JFC9HSK2-6,research-article,fr,0.9622098207473755
ark:/67375/M70-N1MPZSFG-L,other,fr,0.9679968357086182
ark:/67375/6H6-F2MFXZBG-W,,es,0.12297717481851578
ark:/67375/HXZ-Z9XSW2B7-X,research-article,fr,0.9418534636497498
ark:/67375/JKT-3W9503F6-V,research-article,fr,0.9546042680740356
ark:/67375/JKT-3XX8PHF7-L,research-article,fr,0.8042325973510742
ark:/67375/JKT-42LC1V25-N,research-article,it,0.9678141474723816
ark:/67375/JKT-439X49M6-W,research-article,fr,0.9350343942642212
ark:/67375/JKT-47WHC5WM-Q,research-article,fr,0.9594987034797668
ark:/67375/JKT-486QT0NZ-Q,research-article,it,0.6656751036643982
ark:/67375/JKT-4913NHDL-L,research-article,it,0.9501398801803589
ark:/67375/JKT-49ZDVPLK-B,research-article,it,0.9136367440223694
ark:/67375/JKT-4J48RPDC-D,research-article,it,0.9322856068611145
ark:/67375/JKT-4LQ3X74Z-W,research-article,it,0.9509509801864624
ark:/67375/JKT-4LZ51LM6-X,research-article,de,0.9859345555305481
ark:/67375/JKT-4NRKN7C0-3,research-article,it,0.9524675011634827
ark:/67375/JKT-4PZN9BR2-J,research-article,it,0.8859631419181824
ark:/67375/JKT-4QBDLNGV-K,research-article,fr,0.9514196515083313
ark:/67375/JKT-4XHPBXDJ-X,research-article,it,0.9534509181976318
ark:/67375/JKT-50TF8VC3-4,research-article,it,0.9606504440307617
ark:/67375/JKT-54GM7XW1-8,research-article,it,0.9687649011611938
ark:/67375/JKT-55830WXG-X,research-article,it,0.9608899354934692
ark:/67375/JKT-58DXSF0C-N,research-article,fr,0.9293925166130066
ark:/67375/JKT-59MZ18Q0-S,research-article,it,0.9131371378898621
ark:/67375/JKT-5B8TV6WJ-F,research-article,de,0.9789226055145264
ark:/67375/JKT-5C0VPN14-6,research-article,fr,0.9666631817817688
ark:/67375/JKT-5CNVN3D5-6,research-article,it,0.9330861568450928
ark:/67375/JKT-5DBZH30K-9,research-article,de,0.33899837732315063
ark:/67375/JKT-5DV6156Q-H,research-article,it,0.9724666476249695
ark:/67375/JKT-5K30C7MR-M,research-article,it,0.9416982531547546
ark:/67375/JKT-5KQVZMF7-V,research-article,it,0.9567183256149292
ark:/67375/JKT-5M5RCZHX-5,research-article,it,0.9614847302436829
ark:/67375/JKT-5VTP1F4S-L,research-article,it,0.9761489629745483
ark:/67375/JKT-5WXV0LD9-X,research-article,it,0.9558135271072388
ark:/67375/JKT-5XMRCW2H-X,research-article,it,0.9552217125892639
ark:/67375/JKT-5ZSQN78W-N,research-article,it,0.9109379649162292
ark:/67375/JKT-618BMJ8Z-S,research-article,it,0.9574165344238281
ark:/67375/JKT-61PM5T0X-R,research-article,fr,0.920046329498291
ark:/67375/JKT-643SMNHT-S,research-article,it,0.9580007195472717
ark:/67375/JKT-643WLM39-K,research-article,it,0.9553820490837097
ark:/67375/JKT-64C145J6-D,research-article,de,0.981706440448761
ark:/67375/JKT-65RJ8HB9-4,research-article,it,0.9714130759239197
ark:/67375/JKT-680Q8QCV-X,research-article,it,0.893475353717804
ark:/67375/JKT-692HZLLD-G,research-article,it,0.951407790184021
ark:/67375/JKT-PMRQWFB1-Q,research-article,it,0.9382738471031189
ark:/67375/JKT-PN9J7BK4-K,research-article,de,0.9600865840911865
ark:/67375/JKT-PQ7VJ9HX-Q,research-article,it,0.9494399428367615
ark:/67375/JKT-PVJ5Z1MR-6,research-article,fr,0.9537670612335205
ark:/67375/JKT-PZNXHJT6-Q,research-article,it,0.9624189734458923
ark:/67375/JKT-Q3SN1HG1-X,research-article,de,0.9838642477989197
ark:/67375/JKT-Q4BSP4G6-X,research-article,it,0.6958719491958618
ark:/67375/JKT-Q725CH43-L,research-article,it,0.9385941028594971
ark:/67375/JKT-Q73G04PG-1,research-article,it,0.9457723498344421
ark:/67375/JKT-Q7ML0Z49-0,research-article,it,0.951062023639679
ark:/67375/JKT-Q8B5F08H-4,research-article,de,0.9714809060096741
ark:/67375/JKT-QC97FVFB-J,research-article,it,0.9259351491928101
ark:/67375/JKT-QG0MNXTG-4,research-article,it,0.9762215614318848
ark:/67375/JKT-QH07ZWN1-N,research-article,it,0.9289223551750183
ark:/67375/JKT-QP4F6ZST-9,research-article,it,0.9226055145263672
ark:/67375/JKT-QQJXZHBV-0,research-article,it,0.9380055665969849
ark:/67375/JKT-QRJ82QG3-M,research-article,it,0.9483320116996765
ark:/67375/JKT-QRZC8K3Q-H,research-article,it,0.9620881676673889
ark:/67375/JKT-QS2KNQ4P-T,research-article,fr,0.9564087390899658
ark:/67375/JKT-QW183MFQ-4,research-article,fr,0.9657487869262695
ark:/67375/JKT-R04CQ5TB-1,research-article,it,0.9533075094223022
ark:/67375/JKT-R3ZLQCTJ-0,research-article,sv,0.8753286600112915
ark:/67375/JKT-R7S7WJNQ-9,research-article,fr,0.9559199213981628
ark:/67375/JKT-R90WF3XD-P,research-article,de,0.9814639687538147
ark:/67375/JKT-RJ9JVLMC-J,research-article,it,0.9361850023269653
ark:/67375/JKT-RLCSKKW6-3,research-article,de,0.9924957156181335
ark:/67375/JKT-RPBGVCWM-R,research-article,it,0.8786224722862244
ark:/67375/JKT-RR3SRW5H-W,research-article,it,0.9587494134902954
ark:/67375/JKT-RT1JMZPN-H,research-article,it,0.9653544425964355
ark:/67375/JKT-RW8H8Z29-6,research-article,fr,0.9565671682357788
ark:/67375/JKT-RWPWSQ4Q-C,research-article,fr,0.9753717184066772
ark:/67375/JKT-RXFJR738-Z,research-article,it,0.9222806096076965
ark:/67375/JKT-S2NR35C2-5,research-article,it,0.6742299795150757
ark:/67375/M70-1WRZLN8C-H,research-article,fr,0.9687316417694092
ark:/67375/M70-1XLDRXZN-D,other,fr,0.9672040343284607
ark:/67375/M70-5JT7KG4C-Q,article,fr,0.7284215688705444
ark:/67375/M70-8T65Z9LL-G,research-article,fr,0.9576309323310852
ark:/67375/M70-BSLP9SJ7-0,research-article,fr,0.9685246348381042
ark:/67375/M70-G5ZW5ZG6-C,article,fr,0.6636678576469421
ark:/67375/M70-JB0L82NV-R,research-article,fr,0.9621396660804749
ark:/67375/M70-QGR5X4G4-0,research-article,fr,0.915131688117981
ark:/67375/M70-H72F0M7M-F,research-article,fr,0.969707727432251
ark:/67375/M70-TC2MF00C-5,research-article,fr,0.9377894401550293
ark:/67375/M70-XLZHX65Q-C,other,fr,0.9691325426101685
ark:/67375/M70-XNC63J6Z-W,research-article,fr,0.9625172019004822
ark:/67375/M70-H9R7ZT7M-R,research-article,fr,0.9619422554969788
ark:/67375/M70-M8T96M2T-3,research-article,fr,0.961935818195343
ark:/67375/M70-QWLWVRB5-T,research-article,fr,0.9650300741195679
ark:/67375/M70-R3C4THPK-3,research-article,fr,0.9610825181007385
ark:/67375/M70-XWNJFQNW-L,other,fr,0.9548775553703308
ark:/67375/WNG-1FPQZ3ZS-X,article,de,0.9685429930686951
ark:/67375/WNG-1Z0DNPNV-M,article,de,0.9674475193023682
ark:/67375/WNG-2HNFQMBQ-S,book-reviews,de,0.7447389364242554
ark:/67375/WNG-BDWSS8MM-S,article,fr,0.9737551808357239
ark:/67375/WNG-ZRSWT4GH-6,article,vi,0.12209057807922363
ark:/67375/6H6-271PR9SL-H,research-article,de,0.9579422473907471
ark:/67375/VQC-LJ2H7N37-2,research-article,de,0.8859079480171204
ark:/67375/VQC-QG6M7VS9-1,research-article,de,0.9601728320121765
ark:/67375/HCB-F5G08S13-F,research-article,fr,0.9044585824012756
ark:/67375/HCB-HW0HXX53-R,research-article,fr,0.9037128686904907
ark:/67375/HCB-HWWNC01S-F,article,fr,0.9025605320930481
ark:/67375/WNG-0D36KBN2-4,book-reviews,de,0.675834596157074
ark:/67375/WNG-2RFCM3TD-H,article,de,0.9825743436813354
ark:/67375/WNG-3R9T3848-P,book-reviews,de,0.07211633771657944
ark:/67375/HCB-J19C4F2W-0,article,it,0.889359712600708
ark:/67375/HCB-R4Z23HB4-2,chapter,fr,0.9448654055595398
ark:/67375/HXZ-300FJQR2-V,research-article,fr,0.665014386177063
ark:/67375/HXZ-37HQWZTQ-0,research-article,fr,0.8510164618492126
ark:/67375/WNG-FGZTWSMF-2,article,de,0.9869639277458191
ark:/67375/WNG-K4NCJ9NM-Z,article,de,0.9675168991088867
ark:/67375/WNG-K55CG335-5,article,es,0.9078066945075989
ark:/67375/WNG-L9M5H995-R,article,nl,0.9838936924934387
ark:/67375/HCB-WQCXD7G6-9,chapter,fr,0.9652506709098816
ark:/67375/HXZ-65HVXGFH-J,abstract,es,0.9505844116210938
ark:/67375/6S2-16WL982F-1,article,pt,0.7892221808433533
ark:/67375/6H6-KJB7BWZP-K,brief-communication,de,0.9025430083274841
ark:/67375/6H6-LKP95CK1-Q,abstract,fr,0.6457354426383972
ark:/67375/WNG-3948XSDG-W,other,fr,0.2801331579685211
ark:/67375/WNG-3VHZ5M7R-0,article,de,0.984122097492218
ark:/67375/WNG-248C8VTS-P,other,es,0.07817350327968597
ark:/67375/WNG-2NCCXK83-W,article,de,0.9347866177558899
ark:/67375/WNG-34DPP7W8-P,article,de,0.9866506457328796
ark:/67375/WNG-FQL54T5Q-0,article,ru,0.1731540411710739
ark:/67375/WNG-G349NCQV-G,article,de,0.9844029545783997
ark:/67375/WNG-G3ZDB1H8-Q,article,ru,0.3380914628505707
ark:/67375/WNG-GLQ48FW5-3,article,de,0.9818294048309326
ark:/67375/WNG-GMF3PG4Q-D,article,fr,0.9006659984588623
ark:/67375/WNG-H5726Q1T-R,article,de,0.9791430234909058
ark:/67375/WNG-J24W6GDF-B,article,ru,0.32518789172172546
ark:/67375/WNG-JHMQ637N-8,article,de,0.9876977801322937
ark:/67375/WNG-K34ZBH9Z-0,case-report,de,0.11675490438938141
ark:/67375/WNG-H9TD2HKX-9,article,de,0.791545569896698
ark:/67375/WNG-J66KKMT0-2,article,de,0.9885779023170471
ark:/67375/HXZ-KN1T9JZZ-G,research-article,ru,0.0902356505393982
ark:/67375/HXZ-KNCN31NG-1,research-article,fr,0.955376923084259
ark:/67375/HXZ-V8PFTWQR-2,research-article,ru,0.1328011304140091
ark:/67375/HXZ-VBQV3CNW-F,research-article,fr,0.9575233459472656
ark:/67375/HXZ-XF1FKNW6-P,research-article,uk,0.11815590411424637
ark:/67375/HXZ-XHWTMW2Q-V,research-article,uk,0.11805932223796844
ark:/67375/JKT-05KP5D4J-5,research-article,it,0.9378858804702759
ark:/67375/JKT-06WF3LPL-G,research-article,de,0.9860743284225464
ark:/67375/JKT-08H025HH-F,research-article,it,0.9230815768241882
ark:/67375/JKT-08SLTN09-6,research-article,fr,0.9589488506317139
ark:/67375/JKT-09HHGWZS-1,research-article,it,0.9291714429855347
ark:/67375/JKT-0BTSPVWH-D,research-article,it,0.9260801076889038
ark:/67375/JKT-0CGN9BLF-V,research-article,it,0.958245038986206
ark:/67375/JKT-0DKBLWPX-M,research-article,it,0.9492736458778381
ark:/67375/JKT-0JR39Q27-F,research-article,it,0.9433082342147827
ark:/67375/JKT-0MV31GNS-D,research-article,it,0.8833549618721008
ark:/67375/JKT-0NT35D1X-S,research-article,de,0.9911043643951416
ark:/67375/JKT-0QK32WBJ-B,research-article,de,0.2506265342235565
ark:/67375/JKT-0XM8VRH8-T,research-article,fr,0.9383173584938049
ark:/67375/JKT-109X643H-B,research-article,it,0.9381314516067505
ark:/67375/JKT-119V6453-G,research-article,it,0.9321845769882202
ark:/67375/JKT-11T3MWLF-B,research-article,it,0.9266847372055054
ark:/67375/JKT-12321J3B-5,research-article,de,0.9755125641822815
ark:/67375/JKT-15QK29MD-C,research-article,it,0.9094099998474121
ark:/67375/JKT-163083M6-J,research-article,it,0.9749780893325806
ark:/67375/JKT-1671MJ9S-T,research-article,fr,0.8679268956184387
ark:/67375/JKT-16W0SLW0-2,research-article,it,0.9462985396385193
ark:/67375/JKT-18KJLQZG-6,research-article,de,0.9525089263916016
ark:/67375/JKT-M04HXMDQ-G,research-article,fr,0.956204891204834
ark:/67375/JKT-M04T2PS0-D,research-article,it,0.9691206216812134
